'Cold-shock' DNA-binding domain	PF00313
Seadorna_Vp10	PF07322
Seadornavirus VP6 protein	PF07407
Seadornavirus VP7	PF07387
Seadornavirus Vp10	PF07322
Sec-ASP3	PF15432
Sec-independent protein translocase protein (TatC)	PF00902
Sec1	PF00995
Sec1 family	PF00995
Sec1-binding region of Mso1	PF14475
Sec10	PF07393
Sec15	PF04091
Sec16	PF12932
Sec16_C	PF12931
Sec16_N	PF12935
Sec20	PF03908
Sec20	PF03908
Sec23-binding domain of Sec16	PF12931
Sec23/Sec24 beta-sandwich domain	PF08033
Sec23/Sec24 helical domain	PF04815
Sec23/Sec24 trunk domain	PF04811
Sec23/Sec24 zinc finger	PF04810
Sec23_BS	PF08033
Sec23_helical	PF04815
Sec23_trunk	PF04811
Sec2p	PF06428
Sec3 exocyst complex subunit	PF15278
Sec3-PIP2_bind	PF15277
Sec31	PF11549
Sec34	PF04136
Sec34-like family	PF04136
Sec39	PF08314
Sec3_C	PF09763
Sec3_C_2	PF15278
Sec5	PF15469
Sec6	PF06046
Sec61_beta	PF03911
Sec61beta family	PF03911
Sec62	PF03839
Sec63	PF02889
Sec63 Brl domain	PF02889
Sec63/Sec62 complex-interacting family	PF13694
Sec66	PF09802
Sec7	PF01369
Sec7 domain	PF01369
Sec7_N	PF12783
Sec8 exocyst complex component specific domain	PF04048
Sec8_exocyst	PF04048
SecA DEAD-like domain	PF07517
SecA Wing and Scaffold domain	PF07516
SecA preprotein cross-linking domain	PF01043
SecA_DEAD	PF07517
SecA_PP_bind	PF01043
SecA_SW	PF07516
SecB	PF02556
SecD export protein N-terminal TM region	PF13721
SecD-TM1	PF13721
SecD/SecF GG Motif	PF07549
SecD_SecF	PF02355
SecE	PF00584
SecE/Sec61-gamma subunits of protein translocation complex	PF00584
SecG	PF03840
SecIII_SopE_N	PF05364
SecM	PF06558
SecY	PF00344
SecY translocase	PF00344
Sec_GG	PF07549
Second BRCT domain on Nijmegen syndrome breakage protein	PF16508
Second Mitochondria-derived Activator of Caspases	PF09057
Secreted phosphoprotein 24 (Spp-24) cystatin-like domain	PF07448
Secreted protein acidic and rich in cysteine Ca binding region	PF10591
Secreted repeat of unknown function	PF03640
Secretin	PF00263
Secretin N-terminal domain	PF07655
Secretin and TonB N terminus short domain	PF07660
Secretin_N	PF03958
Secretin_N_2	PF07655
Secretion monitor precursor protein (SecM)	PF06558
Secretion system effector C (SseC) like family	PF04888
Secretogranin-3	PF15467
Secretogranin_V	PF05281
Secretory lipase	PF03583
Secretory pathway protein Sec39	PF08314
Secretory protein of YscJ/FliF family	PF01514
Securin	PF04856
Securin sister-chromatid separation inhibitor	PF04856
Sedlin, N-terminal conserved region	PF04628
Sedlin_N	PF04628
Seed dormancy control	PF14144
Seed maturation protein	PF04927
Segment polarity protein dishevelled (Dsh) C terminal	PF12316
Segregation and condensation complex subunit ScpB	PF04079
Segregation and condensation protein ScpA	PF02616
Seipin	PF06775
Sel1	PF08238
Sel1 repeat	PF08238
SelA	PF03841
SelB-wing_1	PF09105
SelB-wing_2	PF09106
SelB-wing_3	PF09107
SelP_C	PF04593
SelP_N	PF04592
SelR	PF01641
SelR domain	PF01641
Selenium binding protein	PF11524
SeleniumBinding	PF11524
Selenocysteine synthase N terminal	PF12390
Selenoprotein P, C terminal region	PF04593
Selenoprotein P, N terminal region	PF04592
Selenoprotein S (SelS)	PF06936
Selenoprotein_S	PF06936
Self-incomp_S1	PF05938
Sema	PF01403
Sema domain	PF01403
Semenogelin	PF05474
Semenogelin	PF05474
Semialdehyde dehydrogenase, NAD binding domain	PF01118
Semialdehyde dehydrogenase, dimerisation domain	PF02774
Semialdhyde_dh	PF01118
Semialdhyde_dhC	PF02774
Seminal vesicle autoantigen (SVA)	PF05326
Seminal vesicle protein repeat	PF10578
Sen15	PF09631
Sen15 protein	PF09631
Senescence	PF06911
Senescence regulator	PF04520
Senescence-associated protein	PF06911
Senescence_reg	PF04520
Sensor	PF13796
Sensor N-terminal transmembrane domain	PF13755
Sensor domain of 2-component histidine kinase	PF16750
Sensor domain of alginate biosynthesis sensor protein KinB	PF16767
Sensor protein DegS	PF05384
Sensor_TM1	PF13755
Sensor_kinase_SpoOB-type, alpha-helical domain	PF14689
Sensors of blue-light using FAD	PF04940
Sensory domain found in PocR	PF10114
Sensory domain in DIguanylate Cyclases and Two-component system	PF10069
Sep15/SelM redox domain	PF08806
Sep15_SelM	PF08806
SepA	PF17080
SepQ	PF06622
SepQ protein	PF06622
SepSecS	PF05889
SepZ	PF06066
SepZ	PF06066
Septation initiation	PF11778
Septation ring formation regulator, EzrA	PF06160
Septin	PF00735
Septin	PF00735
Septum formation	PF13845
Septum formation inhibitor MinC, C-terminal domain	PF03775
Septum formation inhibitor MinC, N-terminal domain	PF05209
Septum formation initiator	PF04977
Septum formation topological specificity factor MinE	PF03776
Septum_form	PF13845
SeqA	PF03925
SeqA protein C-terminal domain	PF03925
Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family	PF10342
SerH	PF06873
Ser_hydrolase	PF06821
Serendipity locus alpha protein (SRY-A)	PF05482
Serendipity_A	PF05482
Serglycin	PF04360
Serglycin	PF04360
Serinc	PF03348
Serine acetyltransferase, N-terminal	PF06426
Serine aminopeptidase, S33	PF12146
Serine carboxypeptidase	PF00450
Serine carboxypeptidase S28	PF05577
Serine dehydratase alpha chain	PF03313
Serine dehydratase beta chain	PF03315
Serine dehydrogenase proteinase	PF01972
Serine endopeptidase inhibitors	PF12559
Serine hydrolase	PF06821
Serine hydrolase (FSH1)	PF03959
Serine hydroxymethyltransferase	PF00464
Serine incorporator (Serinc)	PF03348
Serine peptidase of plant viral polyprotein, P1	PF13611
Serine protease gd N-terminus	PF16030
Serine rich protein interaction domain	PF08824
Serine-rich and transmembrane domain-containing protein 1	PF15872
Serine-rich domain associated with BRCT	PF12820
Serine-rich region of AP3B1, clathrin-adaptor complex	PF14797
Serine-threonine protein kinase 19	PF10494
Serine-threonine protein phosphatase N-terminal domain	PF16891
Serine/arginine repetitive matrix protein C-terminus	PF15230
Serine/threonine-protein kinase smg-1	PF15785
Serine_rich	PF08824
Seripauperin and TIP1 family	PF00660
Serotonin (5-HT) neurotransmitter transporter, N-terminus	PF03491
Serpentine type 7TM GPCR chemoreceptor Sra	PF02117
Serpentine type 7TM GPCR chemoreceptor Srb	PF02175
Serpentine type 7TM GPCR chemoreceptor Srbc	PF10316
Serpentine type 7TM GPCR chemoreceptor Srd	PF10317
Serpentine type 7TM GPCR chemoreceptor Srh	PF10318
Serpentine type 7TM GPCR chemoreceptor Sri	PF10327
Serpentine type 7TM GPCR chemoreceptor Srj	PF10319
Serpentine type 7TM GPCR chemoreceptor Srsx	PF10320
Serpentine type 7TM GPCR chemoreceptor Srt	PF10321
Serpentine type 7TM GPCR chemoreceptor Sru	PF10322
Serpentine type 7TM GPCR chemoreceptor Srv	PF10323
Serpentine type 7TM GPCR chemoreceptor Srw	PF10324
Serpentine type 7TM GPCR chemoreceptor Srx	PF10328
Serpentine type 7TM GPCR chemoreceptor Srz	PF10325
Serpentine type 7TM GPCR chemoreceptor Str	PF10326
Serpentine type 7TM GPCR receptor class ab chemoreceptor	PF10292
Serpentine_r_xa	PF03383
Serpin	PF00079
Serpin (serine protease inhibitor)	PF00079
Serpulina hyodysenteriae variable surface protein	PF05540
Serpulina_VSP	PF05540
Serum albumin family	PF00273
Serum amyloid A protein	PF00277
Serum_albumin	PF00273
Seryl-tRNA synthetase N-terminal domain	PF02403
Seryl_tRNA_N	PF02403
SesA	PF17107
SesB domain on fungal death-pathway protein	PF17046
Ses_B	PF17046
Seven Residue Repeat	PF07709
Seven in absentia protein family	PF03145
Seven times multi-haem cytochrome CxxCH	PF13447
Severe acute respiratory syndrome coronavirus 3b protein	PF12383
Sex determination protein N terminal	PF12278
Sex factor F TraW protein N terminal	PF12477
Sex peptide (SP) family	PF08138
Sex_peptide	PF08138
Sexual stage antigen s48/45 domain	PF07422
Sf6-type phage tail needle knob or tip of some Caudovirales	PF16532
SfLAP	PF11139
Sfi1	PF08457
Sfi1 spindle body protein	PF08457
Sfi1_C	PF10638
SfsA	PF03749
Sgf11	PF08209
Sgf11 (transcriptional regulation protein)	PF08209
SgrR_N	PF12793
SgrT	PF15894
Sgs1 RecQ helicase	PF11408
ShET2 enterotoxin, N-terminal region	PF07906
ShK	PF01549
ShK domain-like	PF01549
Shadoo	PF14999
Shadow of prion protein, neuroprotective	PF14999
Shal-type	PF11601
Shal-type voltage-gated potassium channels, N-terminal	PF11601
Sharpin PH domain	PF16764
Sharpin_PH	PF16764
She2p	PF11435
She9 / Mdm33 family	PF05546
She9_MDM33	PF05546
Shelterin complex subunit, TPP1/ACD	PF10341
Shiga-like toxin beta subunit	PF02258
Shigella flexneri OspC protein	PF06128
Shigella_OspC	PF06128
Shikimate / quinate 5-dehydrogenase	PF01488
Shikimate dehydrogenase substrate binding domain	PF08501
Shikimate kinase	PF01202
Shikimate_DH	PF01488
Shikimate_dh_N	PF08501
Shisa	PF13908
ShlB	PF03865
Short C-terminal domain	PF09851
Short chain fatty acid transporter	PF02667
Short repeat of unknown function (DUF308)	PF03729
Short repeats of unknown function	PF03752
Short tail fibre protein receptor-binding domain	PF14928
Shoulder domain	PF11978
Shu complex component Csm2, DNA-binding	PF16834
Shu complex component Psy3, DNA-binding description	PF16836
Shufflon_N	PF04917
Shugoshin C terminus	PF07557
Shugoshin N-terminal coiled-coil region	PF07558
Shugoshin_C	PF07557
Shugoshin_N	PF07558
Shwachman-Bodian-Diamond syndrome (SBDS) protein	PF01172
Siah interacting protein, N terminal	PF09032
Siah-Interact_N	PF09032
Sial-lect-inser	PF09264
Sialic-acid binding micronemal adhesive repeat	PF10564
Sialidase	PF02973
Sialidase enzyme penultimate C terminal domain	PF12135
Sialidase, N-terminal domain	PF02973
Sialidase_penC	PF12135
Sialyltransferase PMO188	PF11477
SicP binding	PF09119
SicP-binding	PF09119
SidE	PF12252
Siderophore-interacting FAD-binding domain	PF08021
Siderophore-interacting protein	PF04954
SieB	PF14163
Sieve element occlusion C-terminus	PF14577
Sieve element occlusion N-terminus	PF14576
Sif	PF06767
Sif protein	PF06767
Sigma 1s protein	PF02454
Sigma 54 modulation protein / S30EA ribosomal protein	PF02482
Sigma 54 modulation/S30EA ribosomal protein C terminus	PF16321
Sigma NS protein	PF01518
Sigma domain on NACHT-NTPases	PF17106
Sigma factor regulator C-terminal	PF13791
Sigma factor regulator N-terminal	PF13800
Sigma-54 factor, Activator interacting domain (AID)	PF00309
Sigma-54 factor, core binding domain	PF04963
Sigma-54 interaction domain	PF00158
Sigma-54 interaction domain	PF14532
Sigma-54, DNA binding domain	PF04552
Sigma-70 factor, region 1.1	PF03979
Sigma-70 factor, region 1.2	PF00140
Sigma-70 region 2	PF04542
Sigma-70 region 3	PF04539
Sigma-70, non-essential region	PF04546
Sigma-70, region 4	PF04545
Sigma-70, region 4	PF08281
Sigma-S stabilisation anti-adaptor protein	PF10796
Sigma54_AID	PF00309
Sigma54_CBD	PF04963
Sigma54_DBD	PF04552
Sigma54_activ_2	PF14532
Sigma54_activat	PF00158
Sigma70_ECF	PF07638
Sigma70_ner	PF04546
Sigma70_r1_1	PF03979
Sigma70_r1_2	PF00140
Sigma70_r2	PF04542
Sigma70_r3	PF04539
Sigma70_r4	PF04545
Sigma70_r4_2	PF08281
SigmaK-factor processing regulatory protein BofA	PF07441
SigmaW regulon antibacterial	PF12127
Sigma_1_2	PF03084
Sigma_1s	PF02454
Sigma_reg_C	PF13791
Sigma_reg_N	PF13800
Signal peptidase (SPase) II	PF01252
Signal peptidase subunit	PF04573
Signal peptidase, peptidase S26	PF10502
Signal peptide binding domain	PF02978
Signal peptide peptidase	PF04258
Signal recognition particle 14kD protein	PF02290
Signal recognition particle 9 kDa protein (SRP9)	PF05486
Signal recognition particle receptor beta subunit	PF09439
Signal recognition particle, alpha subunit, N-terminal	PF04086
Signal transducer and activator of transcription 2 C terminal	PF12188
Signal transducing histidine kinase, homodimeric domain	PF02895
Signal transduction histidine kinase	PF12282
Signal-peptide peptidase, presenilin aspartyl protease	PF06550
Signaling lymphocytic activation molecule (SLAM) protein	PF06214
Silic_transp	PF03842
Silicon transporter	PF03842
Simian taste bud-specific gene product family	PF15809
Sin-like protein conserved region	PF04801
Sin3 associated polypeptide p18 (SAP18)	PF06487
Sin3 binding region of histone deacetylase complex subunit SAP30	PF13867
Sin3 family co-repressor	PF08295
Sin3_corepress	PF08295
Sin3a_C	PF16879
SinI	PF08671
SinI restriction endonuclease	PF09570
Sin_N	PF04801
Sina	PF03145
Sine oculis-binding protein	PF15279
Single Cache domain 2	PF17200
Single Cache-like	PF16736
Single cache domain 3	PF17202
Single cache domain 3	PF17203
Single domain von Willebrand factor type C	PF15430
Single strand annealing-weakened 1	PF11561
Single-minded protein C-terminus	PF06621
Single-strand DNA-binding protein	PF12189
Single-strand DNA-specific exonuclease, C terminal domain	PF10141
Single-strand binding protein family	PF00436
Single-stranded DNA binding protein, SSDP	PF04503
Single-stranded poly(A) binding domain	PF11633
SipA	PF09052
Sipho_Gp157	PF05565
Sipho_Gp37	PF14594
Sipho_tail	PF05709
Siphovirus Gp157	PF05565
Siphovirus ReqiPepy6 Gp37-like protein	PF14594
Siphovirus protein of unknown function (DUF859)	PF05895
Sir1	PF11603
Sir2 family	PF02146
Sir4 SID domain	PF16991
SirB	PF04247
Sirohaem biosynthesis protein C-terminal	PF14823
Sirohaem biosynthesis protein central	PF14824
Sirohaem synthase dimerisation region	PF10414
Sirohm_synth_C	PF14823
Sirohm_synth_M	PF14824
Sister chromatid cohesion C-terminus	PF12830
Site-specific recombinase	PF10136
Siva	PF05458
Six6 opposite strand transcript 1 family	PF15676
Sjogren's syndrome/scleroderma autoantigen 1 (Autoantigen p27)	PF06677
Ski_Sno	PF02437
Skp1	PF01466
Skp1 family, dimerisation domain	PF01466
Skp1 family, tetramerisation domain	PF03931
Skp1_POZ	PF03931
Sld5	PF05916
Sleepless protein	PF17064
Slime mold cyclic AMP receptor	PF05462
Slow voltage-gated potassium channel	PF02060
Slp	PF03843
Slu7	PF11708
Slx4	PF09494
Slx4 endonuclease	PF09494
SlyX	PF04102
SlyX	PF04102
SmAKAP	PF15127
Sm_like	PF16243
Sm_like domain	PF16243
Sm_multidrug_ex	PF06695
Smac_DIABLO	PF09057
Smad anchor for receptor activation (SARA)	PF11409
Small Multidrug Resistance protein	PF00893
Small VCP/p97-interacting protein	PF15811
Small acid-soluble spore protein H family	PF08141
Small acid-soluble spore protein K family	PF08176
Small acid-soluble spore protein N family	PF08177
Small acid-soluble spore protein O family	PF08175
Small acid-soluble spore protein P family	PF08179
Small acidic protein family	PF15477
Small capsid protein of Herpesviridae	PF17086
Small coat protein	PF02248
Small cytokines (intecrine/chemokine), interleukin-8 like	PF00048
Small hydrophilic plant seed protein	PF00477
Small hydrophobic protein	PF03579
Small integral membrane protein (DUF2273)	PF10031
Small membrane A-kinase anchor protein	PF15127
Small metal-binding protein	PF16785
Small nuclear RNA activating complex (SNAPc), subunit SNAP43	PF09808
Small nuclear RNA activating complex subunit 2, SNAP190 Myb	PF11035
Small outer capsid protein	PF16855
Small proline-rich 2	PF14820
Small secreted domain (DUF320)	PF03777
Small spore protein J (Spore_SspJ)	PF09575
Small subunit of acetolactate synthase	PF10369
Small, acid-soluble spore protein I	PF14098
Small, acid-soluble spore protein, gamma-type	PF04259
Small, acid-soluble spore proteins, alpha/beta type	PF00269
Smg-4/UPF3 family	PF03467
Smg4_UPF3	PF03467
Smoothelin	PF12510
Smoothelin cytoskeleton protein	PF12510
SmpA / OmlA family	PF04355
SmpA_OmlA	PF04355
SmpB	PF01668
SmpB protein	PF01668
Smr	PF01713
Smr domain	PF01713
SnAC	PF14619
SnAPC_2_like	PF11035
Snake toxin	PF00087
Snapin/Pallidin	PF14712
Snapin_Pallidin	PF14712
Snare region anchored in the vesicle membrane C-terminus	PF12352
Snf2-ATP coupling, chromatin remodelling complex	PF14619
Snf7	PF03357
Snf7	PF03357
SnoaL	PF07366
SnoaL-like domain	PF12680
SnoaL-like domain	PF13474
SnoaL-like domain	PF13577
SnoaL-like polyketide cyclase	PF07366
SnoaL_2	PF12680
SnoaL_3	PF13474
SnoaL_4	PF13577
Snurportin1	PF11538
Snurportin1	PF11538
SoDot-IcmSS	PF16848
Soc	PF16855
Sod_Cu	PF00080
Sod_Fe_C	PF02777
Sod_Fe_N	PF00081
Sod_Ni	PF09055
Sodium / potassium ATPase beta chain	PF00287
Sodium Bile acid symporter family	PF01758
Sodium ion transport-associated	PF06512
Sodium/calcium exchanger protein	PF01699
Sodium/glutamate symporter	PF03616
Sodium/hydrogen exchanger family	PF00999
Sodium:alanine symporter family	PF01235
Sodium:dicarboxylate symporter family	PF00375
Sodium:neurotransmitter symporter family	PF00209
Sodium:solute symporter family	PF00474
Sodium:sulfate symporter transmembrane region	PF00939
Sof1	PF04158
Sof1-like domain	PF04158
Solitary outer membrane autotransporter beta-barrel domain	PF11557
Soluble NSF attachment protein, SNAP	PF14938
Soluble lytic murein transglycosylase L domain	PF14718
Solute carrier (proton/amino acid symporter), TRAMD3 or PAT1	PF14738
Solute carrier family 12	PF03522
Solute carrier family 3 member 2 N-terminus	PF16028
Solute carrier family 35	PF06027
Solute_trans_a	PF03619
Somatomedin B domain	PF01033
Somatomedin_B	PF01033
Somatostatin	PF03002
Somatostatin/Cortistatin family	PF03002
Somatotropin hormone family	PF00103
Something about silencing, SAS, complex subunit 4	PF15460
SopA	PF13981
SopA-like catalytic domain	PF13979
SopA-like central domain	PF13981
SopA_C	PF13979
SopD	PF11047
SopE GEF domain	PF07487
SopE_GEF	PF07487
Sorb	PF02208
Sorbin homologous domain	PF02208
Sorbitol phosphotransferase enzyme II C-terminus	PF07663
Sorbitol phosphotransferase enzyme II N-terminus	PF03612
Sororin	PF09666
Sororin protein	PF09666
Sortase	PF04203
Sortase family	PF04203
Sortilin, neurotensin receptor 3,	PF15902
Sortilin, neurotensin receptor 3, C-terminal	PF15901
Sortilin-Vps10	PF15902
Sortilin_C	PF15901
Sorting nexin C terminal	PF08628
Sorting nexin, N-terminal domain	PF03700
Sorting_nexin	PF03700
Southampton virus-type processing peptidase	PF05416
Sox 17/18 central domain	PF12067
Sox developmental protein N terminal	PF12444
Sox17_18_mid	PF12067
SoxD	PF04267
SoxE	PF06525
SoxG	PF04268
SoxY	PF13501
SoxZ	PF08770
Sox_N	PF12444
Soyouz_module	PF14313
Sp100	PF03172
Sp100 domain	PF03172
Sp38	PF07354
Spa2 homology domain (SHD) of GIT	PF08518
Spaetzle	PF16077
Spaetzle	PF16077
Spasmodic peptide gm9a; conotoxin from Conus species	PF07473
Spatacsin C-terminus	PF14649
Spatacsin_C	PF14649
Spb1 C-terminal domain	PF07780
Spb1_C	PF07780
Spc19	PF08287
Spc24	PF08286
Spc24 subunit of Ndc80	PF08286
Spc29	PF17082
Spc42p	PF11544
Spc7	PF08317
Spc7 kinetochore protein	PF08317
Spc7_C2	PF15577
Spc7_C2	PF15577
Spc7_N	PF15402
Spc97 / Spc98 family	PF04130
Spc97_Spc98	PF04130
SpdB	PF05122
Spec3	PF15795
Special lobe-specific silk protein SSP160	PF06933
SpecificRecomb	PF10136
Specifically androgen-regulated gene protein	PF15385
Spectrin	PF00435
Spectrin repeat	PF00435
Spectrin-binding region of Ca2+-Calmodulin	PF17095
Spem1	PF15670
Speriolin C-terminus	PF15059
Speriolin N terminus	PF15058
Speriolin_C	PF15059
Speriolin_N	PF15058
Sperm acrosome-associated protein 7	PF15307
Sperm antigen HE2	PF05324
Sperm equatorial segment protein 1	PF15754
Sperm histone P2	PF00841
Sperm protein associated with nucleus, mapped to X chromosome	PF07458
Sperm tail	PF14772
Sperm tail C-terminal domain	PF14775
Sperm-activating peptides	PF08250
Sperm-specific antigen 2 C-terminus	PF14723
Sperm-tail PG-rich repeat	PF07004
Sperm_Ag_HE2	PF05324
Sperm_act_pep	PF08250
Spermatid maturation protein 1	PF15670
Spermatid-specific manchette-related protein 1	PF15181
Spermatogenesis family BioT2	PF15368
Spermatogenesis-assoc protein 6	PF14909
Spermatogenesis-associated C-terminus	PF15743
Spermatogenesis-associated protein 19, mitochondrial	PF15212
Spermatogenesis-associated protein 24	PF15175
Spermatogenesis-associated protein 25	PF15218
Spermatogenesis-associated protein 3 family	PF15662
Spermatogenesis-associated protein 7, or HSD3	PF15244
Spermatogenesis-associated protein 9	PF15824
Spermatogenesis-associated serine-rich protein 1	PF15160
Spermatogenesis-associated, N-terminal	PF15015
Spermatozal protamine family	PF08188
Spermine/spermidine synthase	PF01564
Spermine_synth	PF01564
Spexin	PF15171
Spheroidin	PF05541
Spherulation-specific family 4	PF12138
Spherulin4	PF12138
Sphingolipid Delta4-desaturase (DES)	PF08557
Spi protease inhibitor	PF13734
Spider antimicrobial peptide	PF08025
Spider insecticidal peptide	PF08091
Spider toxin	PF02819
Spider toxin omega agatoxin/Tx1 family	PF08396
Spidrion_N	PF16763
Spidroin_MaSp	PF11260
Spike glycoprotein N-terminal domain	PF16451
Spike receptor binding domain	PF09408
Spike_NTD	PF16451
Spike_rec_bind	PF09408
Spike_torovirin	PF17072
Spin-Ssty	PF02513
Spin/Ssty Family	PF02513
Spindle Pole Component 29	PF17082
Spindle and kinetochore-associated protein 2	PF16740
Spindle body associated protein C-terminus	PF10638
Spindle pole body component	PF17097
Spindle pole body component BBP1, C-terminal	PF15272
Spindle pole body component BBP1, Mps2-binding protein	PF15271
Spindle pole body component Spc42p	PF11544
Spindle pole body formation-associated protein	PF11500
Spindle_Spc25	PF08234
Spinocerebellar ataxia type 10 protein domain	PF09759
Spiralin	PF05215
Spiralin	PF05215
SplA	PF11132
Splicing factor 1 helix-hairpin domain	PF16275
Splicing factor 3B subunit 1	PF08920
Splicing factor 3B subunit 10 (SF3b10)	PF07189
Splicing factor SF3a60 binding domain	PF12108
Spo0A_C	PF08769
Spo0E like sporulation regulatory protein	PF09388
Spo0M	PF07070
Spo12	PF05032
Spo12 family	PF05032
Spo7	PF03907
Spo7-like protein	PF03907
Spo7_2_N	PF15407
SpoIIAA-like	PF11964
SpoIIAA-like	PF11964
SpoIID	PF08486
SpoIIE	PF07228
SpoIIIAC	PF06686
SpoIIIAH	PF12685
SpoIIIAH-like protein	PF12685
SpoIIID	PF12116
SpoIIM	PF01944
SpoIIP	PF07454
SpoIISA_toxin	PF14171
SpoIISB_antitox	PF14185
SpoIVB peptidase S55	PF05580
SpoOE-like	PF09388
SpoOM protein	PF07070
SpoU rRNA Methylase family	PF00588
SpoU, rRNA methylase, C-terminal	PF12105
SpoU_methylas_C	PF12105
SpoU_methylase	PF00588
SpoU_sub_bind	PF08032
SpoV	PF08183
SpoVA	PF03862
SpoVA protein	PF03862
SpoVAB	PF13782
SpoVAD	PF07451
SpoVAE	PF14097
SpoVG	PF04026
SpoVG	PF04026
SpoVIF	PF14069
SpoVR	PF04293
SpoVR like protein	PF04293
SpoVS	PF04232
SpoVT_C	PF15714
Spond_N	PF06468
Spondin_N	PF06468
SporV_AA	PF12164
Spore Coat Protein U domain	PF05229
Spore Coat Protein X and V domain	PF07552
Spore coat associated protein JA (CotJA)	PF11007
Spore coat protein (Spore_GerQ)	PF09671
Spore coat protein CotO	PF14153
Spore coat protein Z	PF10612
Spore cortex protein YabQ (Spore_YabQ)	PF09578
Spore germination B3/ GerAC like, C-terminal	PF05504
Spore germination GerPB	PF10803
Spore germination protein	PF03845
Spore germination protein GerPC	PF10737
Spore germination protein gerPA/gerPF	PF10676
Spore wall protein	PF17018
Spore-coat_CotD	PF11122
Spore-coat_CotZ	PF10612
